"item_id","timestamp","target"
"RB75","2024-07-08 06:12:00",0
"RB75","2024-07-08 05:38:00",0
"RB75","2024-07-08 06:12:00",1
"RB75","2024-07-08 07:12:00",0
"RB75","2024-07-08 06:38:00",0
"RB75","2024-07-08 07:12:00",2
"RB75","2024-07-08 07:38:00",0
"RB75","2024-07-08 08:12:00",0
"RB75","2024-07-08 08:38:00",2
"RB75","2024-07-08 09:12:00",0
"RB75","2024-07-08 08:12:00",4
"RB75","2024-07-08 10:12:00",0
"RB75","2024-07-08 09:12:00",5
"RB75","2024-07-08 09:38:00",0
"RB75","2024-07-08 10:12:00",1
"RB75","2024-07-08 10:38:00",0
"RB75","2024-07-08 11:38:00",0
"RB75","2024-07-08 12:38:00",0
"RB75","2024-07-08 14:12:00",0
"RB75","2024-07-08 13:38:00",0
"RB75","2024-07-08 14:12:00",0
"RB75","2024-07-08 14:38:00",8
"RB75","2024-07-08 15:12:00",0
"RB75","2024-07-08 15:12:00",2
"RB75","2024-07-08 15:38:00",4
"RB75","2024-07-08 16:12:00",0
"RB75","2024-07-08 16:38:00",0
"RB75","2024-07-08 17:12:00",0
"RB75","2024-07-08 16:12:00",2
"RB75","2024-07-08 17:38:00",0
"RB75","2024-07-08 17:12:00",0
"RB75","2024-07-08 18:12:00",0
"RB75","2024-07-08 19:12:00",0
"RB75","2024-07-08 18:38:00",0
"RB75","2024-07-08 18:12:00",4
"RB75","2024-07-08 19:38:00",0
"RB75","2024-07-08 19:12:00",1
"RB75","2024-07-08 20:38:00",2
"RB75","2024-07-08 21:38:00",0
"RB75","2024-07-08 22:38:00",0
"RB75","2024-07-08 23:38:00",0
"RB75","2024-07-09 05:38:00",0
"RB75","2024-07-09 06:12:00",0
"RB75","2024-07-09 06:38:00",0
"RB75","2024-07-09 07:12:00",0
"RB75","2024-07-09 06:12:00",1
"RB75","2024-07-09 08:12:00",0
"RB75","2024-07-09 07:12:00",8
"RB75","2024-07-09 07:38:00",0
"RB75","2024-07-09 09:12:00",0
"RB75","2024-07-09 08:12:00",2
"RB75","2024-07-09 08:38:00",0
"RB75","2024-07-09 09:12:00",3
"RB75","2024-07-09 09:38:00",0
"RB75","2024-07-09 10:12:00",0
"RB75","2024-07-09 10:38:00",1
"RB75","2024-07-09 10:12:00",0
"RB75","2024-07-09 11:38:00",0
"RB75","2024-07-09 12:38:00",0
"RB75","2024-07-09 14:12:00",0
"RB75","2024-07-09 13:38:00",0
"RB75","2024-07-09 14:12:00",0
"RB75","2024-07-09 14:38:00",0
"RB75","2024-07-09 15:12:00",0
"RB75","2024-07-09 16:12:00",0
"RB75","2024-07-09 15:12:00",4
"RB75","2024-07-09 15:38:00",1
"RB75","2024-07-09 16:38:00",0
"RB75","2024-07-09 16:12:00",4
"RB75","2024-07-09 17:12:00",0
"RB75","2024-07-09 18:12:00",0
"RB75","2024-07-09 17:12:00",6
"RB75","2024-07-09 17:38:00",3
"RB75","2024-07-09 18:12:00",14
"RB75","2024-07-09 18:38:00",5
"RB75","2024-07-09 19:12:00",0
"RB75","2024-07-09 19:38:00",0
"RB75","2024-07-09 19:12:00",3
"RB75","2024-07-09 20:38:00",0
"RB75","2024-07-09 21:38:00",0
"RB75","2024-07-09 22:38:00",0
"RB75","2024-07-09 23:38:00",0
"RB75","2024-07-10 06:12:00",0
"RB75","2024-07-10 05:38:00",0
"RB75","2024-07-10 06:38:00",2
"RB75","2024-07-10 06:12:00",3
"RB75","2024-07-10 07:12:00",0
"RB75","2024-07-10 07:38:00",0
"RB75","2024-07-10 08:12:00",0
"RB75","2024-07-10 07:12:00",2
"RB75","2024-07-10 08:12:00",6
"RB75","2024-07-10 09:12:00",0
"RB75","2024-07-10 08:38:00",0
"RB75","2024-07-10 10:12:00",0
"RB75","2024-07-10 09:12:00",5
"RB75","2024-07-10 09:38:00",4
"RB75","2024-07-10 10:12:00",0
"RB75","2024-07-10 10:38:00",0
"RB75","2024-07-10 11:38:00",0
"RB75","2024-07-10 12:38:00",0
"RB75","2024-07-10 13:38:00",6
"RB75","2024-07-10 14:12:00",0
"RB75","2024-07-10 14:38:00",0
"RB75","2024-07-10 14:12:00",3
"RB75","2024-07-10 15:12:00",0
"RB75","2024-07-10 16:12:00",0
"RB75","2024-07-10 15:12:00",5
"RB75","2024-07-10 15:38:00",0
"RB75","2024-07-10 16:12:00",5
"RB75","2024-07-10 16:38:00",0
"RB75","2024-07-10 17:12:00",0
"RB75","2024-07-10 18:12:00",0
"RB75","2024-07-10 17:12:00",3
"RB75","2024-07-10 17:38:00",0
"RB75","2024-07-10 18:38:00",0
"RB75","2024-07-10 18:12:00",4
"RB75","2024-07-10 19:12:00",0
"RB75","2024-07-10 19:38:00",0
"RB75","2024-07-10 19:12:00",2
"RB75","2024-07-10 20:38:00",0
"RB75","2024-07-10 21:38:00",0
"RB75","2024-07-10 22:38:00",0
"RB75","2024-07-10 23:38:00",0
"RB75","2024-07-11 06:12:00",0
"RB75","2024-07-11 05:38:00",0
"RB75","2024-07-11 06:12:00",29
"RB75","2024-07-11 06:38:00",0
"RB75","2024-07-11 07:12:00",0
"RB75","2024-07-11 08:12:00",0
"RB75","2024-07-11 07:38:00",0
"RB75","2024-07-11 07:12:00",2
"RB75","2024-07-11 08:12:00",4
"RB75","2024-07-11 09:12:00",0
"RB75","2024-07-11 08:38:00",0
"RB75","2024-07-11 10:12:00",0
"RB75","2024-07-11 09:38:00",0
"RB75","2024-07-11 09:12:00",4
"RB75","2024-07-11 10:12:00",3
"RB75","2024-07-11 10:38:00",0
"RB75","2024-07-11 11:38:00",0
"RB75","2024-07-11 12:38:00",0
"RB75","2024-07-11 14:12:00",0
"RB75","2024-07-11 13:38:00",0
"RB75","2024-07-11 14:12:00",0
"RB75","2024-07-11 14:38:00",0
"RB75","2024-07-11 15:12:00",0
"RB75","2024-07-11 16:12:00",0
"RB75","2024-07-11 15:12:00",16
"RB75","2024-07-11 15:38:00",1
"RB75","2024-07-11 16:12:00",1
"RB75","2024-07-11 16:38:00",0
"RB75","2024-07-11 17:12:00",0
"RB75","2024-07-11 18:12:00",0
"RB75","2024-07-11 17:38:00",0
"RB75","2024-07-11 17:12:00",0
"RB75","2024-07-11 19:12:00",0
"RB75","2024-07-11 18:12:00",1
"RB75","2024-07-11 18:38:00",0
"RB75","2024-07-11 19:38:00",0
"RB75","2024-07-11 19:12:00",1
"RB75","2024-07-11 20:38:00",0
"RB75","2024-07-11 21:38:00",0
"RB75","2024-07-11 22:38:00",0
"RB75","2024-07-11 23:38:00",0
"RB75","2024-07-12 05:38:00",0
"RB75","2024-07-12 06:12:00",0
"RB75","2024-07-12 06:38:00",0
"RB75","2024-07-12 07:12:00",0
"RB75","2024-07-12 06:12:00",3
"RB75","2024-07-12 08:12:00",0
"RB75","2024-07-12 07:12:00",1
"RB75","2024-07-12 07:38:00",0
"RB75","2024-07-12 08:12:00",6
"RB75","2024-07-12 09:12:00",0
"RB75","2024-07-12 08:38:00",0
"RB75","2024-07-12 09:38:00",0
"RB75","2024-07-12 09:12:00",7
"RB75","2024-07-12 10:12:00",0
"RB75","2024-07-12 10:38:00",0
"RB75","2024-07-12 10:12:00",14
"RB75","2024-07-12 11:38:00",0
"RB75","2024-07-12 12:38:00",1
"RB75","2024-07-12 13:38:00",4
"RB75","2024-07-12 14:12:00",0
"RB75","2024-07-12 15:12:00",0
"RB75","2024-07-12 14:38:00",0
"RB75","2024-07-12 14:12:00",1
"RB75","2024-07-12 15:38:00",0
"RB75","2024-07-12 15:12:00",1
"RB75","2024-07-12 16:12:00",0
"RB75","2024-07-12 17:12:00",0
"RB75","2024-07-12 16:38:00",11
"RB75","2024-07-12 16:12:00",1
"RB75","2024-07-12 17:38:00",0
"RB75","2024-07-12 18:12:00",0
"RB75","2024-07-12 17:12:00",4
"RB75","2024-07-12 18:38:00",0
"RB75","2024-07-12 18:12:00",1
"RB75","2024-07-12 19:12:00",0
